ds,yhat,yhat_lower,yhat_upper
2012-01-16,29690.324605803773,13853.537558537726,44883.540499346986
2012-01-17,32707.49241673533,17262.081771281355,49270.09173369668
2012-01-18,30144.709860868046,13504.533978568206,46405.04973649834
2012-01-19,37180.541475247584,20565.222081465414,53019.85967486024
2012-01-20,27158.72175467292,11251.483674406338,43188.60089877105
2012-01-21,-14241.774205597285,-28728.2935800288,1862.6849778645824
2012-01-22,16671.931950432052,526.796653477491,31516.646622416298
2012-01-23,27408.61796278926,10636.830757904012,43177.531091430006
2012-01-24,29298.605805919637,13351.396312374229,46373.928959609104
2012-01-25,25726.755631624,10025.36753891506,42729.24764330966
2012-01-26,31895.837596202036,15933.611107245972,47429.02047221807
2012-01-27,21169.449656819063,3664.2120573416432,37001.84272958388
2012-01-28,-20758.360026939885,-35991.048026384124,-5093.402328757456
2012-01-29,9815.256552876956,-6728.779852638152,25879.29919895651
2012-01-30,20403.772626963368,6222.36592243961,38720.66147398035
2012-01-31,22336.90607774047,7245.12483754333,39024.70208160594
2012-02-01,18993.73231171128,1997.4193679667317,33749.12193880988
2012-02-02,25566.31441132394,9702.208342066466,41096.38596317977
2012-02-03,15403.00988380077,-611.8091192181935,31430.19648775482
2012-02-04,-25821.399670880724,-42108.80338821066,-9525.023143236567
2012-02-05,5573.251189674407,-10755.81103524728,20765.44681537095
2012-02-06,17075.031871190404,624.4729646470882,32924.4181406913
2012-02-07,19986.294189073596,5227.871212351029,36325.617126769896
2012-02-08,17657.58656278379,1190.5156028701854,32433.063098506147
2012-02-09,25252.10487195072,10682.528480110965,42362.15991022244
2012-02-10,16089.816055783484,-113.68688196600058,32533.49149775073
2012-02-11,-24181.622099898534,-39380.18423250722,-7279.385592728011
2012-02-12,8092.840283225667,-7135.730572939773,24242.384287452023
2012-02-13,20378.837891055417,3300.490212221729,37185.10368448147
2012-02-14,23959.55423547752,7024.35206910826,39575.29281264027
2012-02-15,22170.118946743158,6215.474261034151,38313.2853593996
2012-02-16,30162.42687096005,14022.980986759463,45397.04404545289
2012-02-17,21249.50608155315,5153.95365753519,36716.55005794666
2012-02-18,-18923.4471003309,-34236.90090296624,-3673.9733020818967
2012-02-19,13300.617594606709,-2446.7653718750444,30441.50358913389
2012-02-20,25393.652938690597,9377.509119997756,41858.08267879563
2012-02-21,28649.211276103106,12754.827810428244,44985.60578531408
2012-02-22,26416.46136896759,8983.334552703649,42529.68927493609
2012-02-23,33864.52601329498,17863.868241733184,49363.60860303744
2012-02-24,24326.282773915973,8204.195914303325,40823.03712529072
2012-02-25,-16531.236510017243,-33494.056183291264,-18.822845400750506
2012-02-26,14972.155575163151,-1847.0415218827304,32025.876283662776
2012-02-27,26332.13784135432,9642.344425993042,41510.81181777947
2012-02-28,28865.857686223524,14110.167062537335,45750.86934292177
2012-02-29,25945.2420647629,9411.466328775085,42066.2626935704
2012-03-01,32760.663781790223,15939.387899792013,48402.96796149419
2012-03-02,22664.1247767406,7445.477985373214,38222.23830524993
2012-03-03,-18660.89038357032,-34250.29178751168,-2453.192982125905
2012-03-04,12479.127514764414,-2958.5123143001047,27228.95362802088
2012-03-05,23589.688221203607,6751.072277388255,40204.79849691595
2012-03-06,25994.028192128462,10967.66765147764,42530.3731169254
2012-03-07,23066.285753245564,6408.584201042047,39276.610198408176
2012-03-08,29995.14962930072,14085.15823647082,46633.10010801248
